No.,Stock,Company name,Industry,Exchange,Status
1,AMD,FLC Stone Mining And Investment Joint Stock Company,Building Material and Garden Equipment and Supplies Dealers,HOSE,Supervising
2,APC,An Phu Irradiation Joint Stock Company,Support Activities for Agriculture and Forestry,HOSE,Supervising
3,AST,Taseco Air Services JSC,General Merchandise Stores,HOSE,Supervising
4,CIG,COMA 18 Joint Stock Company,Real Estate Development,HOSE,Warning
5,DLG,Duc Long Gia Lai Group JSC,Computer and Electronic Product,HOSE,Warning
6,DXV,Da Nang Construction Building Materials & Cement JSC,"Merchant Wholesalers, Durable Goods",HOSE,Warning
7,GAB,FLC Mining Investment & Asset Management Joint Stock Company,Nonmetallic Mineral Product,HOSE,Warning
8,HAG,Hoang Anh Gia Lai Joint Stock Company,Crop Production,HOSE,Warning
9,HAI,HAI Agrochem Joint Stock Company,"Merchant Wholesalers, Nondurable Goods",HOSE,Supervising
10,HNG,Hoang Anh Gia Lai Agricultural JSC,Crop Production,HOSE,Warning
11,HOT,Hoi An Torurist Service Joint Stock Company,Hotel and Accomodation,HOSE,Supervising
12,HU1,HUD1 Investment and Construction JSC,Real Estate Development,HOSE,Supervising
13,HU3,HUD3 Investment and Construction Joint Stock Company,Construction,HOSE,Supervising
14,HVN,Vietnam Airlines JSC,Air Transportation,HOSE,Supervising
15,ITA,Tan Tao Investment and Industry Corporation,Real Estate,HOSE,Warning
16,JVC,Japan Vietnam Medical Instrument Joint Stock Company,"Merchant Wholesalers, Durable Goods",HOSE,Warning
17,LHG,Long Hau Corporation,Real Estate,HOSE,Supervising
18,MCG,MCG Energy and Real Estate JSC,Machinery Manufacturing,HOSE,Supervising
19,NVT,Ninh Van Bay Travel Real Estate JSC,Hotel and Accomodation,HOSE,Warning
20,OGC,Ocean Group Joint Stock Company,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",HOSE,Supervising
21,PIT,Petrolimex International Trading Joint Stock Company,"Merchant Wholesalers, Nondurable Goods",HOSE,Warning
22,PMG,Petro Center Corporation,"Merchant Wholesalers, Nondurable Goods",HOSE,Supervising
23,PTL,Victory Capital Joint Stock Company,Real Estate,HOSE,Warning
24,QBS,Quang Binh Import & Export JSC,"Merchant Wholesalers, Nondurable Goods",HOSE,Supervising
25,RDP,Rang Dong Holding Plastic JSC,Plastics and Rubber,HOSE,Warning
26,SCD,Chuong Duong Beverages Joint Stock Company,Beverage - Tobacco,HOSE,Warning
27,SGT,Sai Gon Telecommunication & Technologies Corporation,"Merchant Wholesalers, Durable Goods",HOSE,Warning
28,SII,Sai Gon Water Infrastructure Corporation,"Water, Sewage and Other Systems",HOSE,Supervising
29,SJD,Candon HydroPower Joint Stock Company,"Electric Power Generation, Transmission and Distribution",HOSE,Supervising
30,SMA,Sai Gon Machinery Spare Parts JSC,"Merchant Wholesalers, Durable Goods",HOSE,Warning
31,TCR,Taicera Enterprise Company,Nonmetallic Mineral Product,HOSE,Warning
32,TDH,Thu Duc Housing Development Corporation,Real Estate,HOSE,Supervising
33,TGG,Louis Capital JSC,Heavy and Civil Engineering Construction,HOSE,Supervising
