Stock,Year,"Cost of Revenue, Total",Inventories - Other,"Accounts Receivable - Trade, Net",Total Current Assets,Net Sales,Gross Revenue,Total Current Liabilities,Cash from Operating Activities,Total Liabilities,Total Equity,Net Income Incl Extra Before Distributions,Gross Profit,Operating Income,"Total Assets, Reported","Accounts Receivable - Trade, Net",Accounts Payable,Net Income Before Taxes,Interest Expense - Operating,"Interest Expense, Supplemental","Total Fixed Assets, Net",EBITDA,Cash from Investing Activities
CHP.HM,2016,252622786160.00,NULL,2.73785E+11,4.78051E+11,6.49689E+11,6.49689E+11,2.95977E+11,3.37175E+11,1.4136E+12,1.67016E+12,2.57775E+11,3.97067E+11,2.57744E+11,3.08376E+12,2.73785E+11,51156985050,2.57775E+11,1.11395E+11,1.11395E+11,2605712164530.00,512699371680.00,-34125015800.00
CHP.HM,2017,295644307970.00,NULL,1.18185E+11,6.60218E+11,8.60534E+11,8.60534E+11,2.7281E+11,6.99749E+11,1.22663E+12,1.8789E+12,4.10334E+11,5.6489E+11,4.37785E+11,3.10553E+12,1.18185E+11,29258309950,4.32396E+11,98614486660,98614486660,2445313487450.00,672239773990.00,-28971176610.00
CHP.HM,2018,265313136620.00,NULL,2.24797E+11,3.53108E+11,4.70018E+11,4.70018E+11,2.20063E+11,19027168120,1.08809E+12,1.76088E+12,95892316470,2.04705E+11,1.0123E+11,2.84897E+12,2.24797E+11,40864182810,1.00993E+11,84960096140,84960096140,2495858375730.00,328495340010.00,-182154396340.00
CHP.HM,2019,330413012060.00,NULL,1.42177E+11,3.52788E+11,7.13536E+11,7.13536E+11,4.41507E+11,5.54144E+11,1.84743E+12,1.76424E+12,2.16055E+11,3.83123E+11,2.24873E+11,3.61167E+12,1.42177E+11,1.45911E+11,2.26714E+11,1.28482E+11,1.28482E+11,3258884793440.00,546263910360.00,-830240736890.00
CHP.HM,2020,372814524720.00,NULL,1.7591E+11,4.54439E+11,8.30525E+11,8.30525E+11,3.76923E+11,5.02837E+11,1.6389E+12,1.89386E+12,2.78372E+11,4.5771E+11,2.90849E+11,3.53276E+12,1.7591E+11,32574068070,2.90833E+11,1.36864E+11,1.36864E+11,3078326022520.00,634205576130.00,-147671399210.00
CHP.HM,2021,387270729400.00,NULL,2.96194E+11,3.9536E+11,7.87447E+11,7.87447E+11,3.25325E+11,3.10916E+11,1.37851E+12,1.89419E+12,2.42075E+11,4.00177E+11,2.5452E+11,3.2727E+12,2.96194E+11,32427758850,2.54492E+11,1.15899E+11,1.15899E+11,2877343920820.00,592105221080.00,-4514560900.00
CHP.HM,2022,449284278150.00,13610572200.00,3.37087E+11,6.28228E+11,1.10053E+12,1.10053E+12,4.76442E+11,6.90191E+11,1.28083E+12,1.97887E+12,4.91989E+11,6.5125E+11,5.08314E+11,3.2597E+12,3.37087E+11,26960637560,5.169E+11,97371062760,97371062760,2631472908780.00,824217229650.00,-14784631620.00
POM.HM,2016,8659686501200.00,108837474450.00,2.31992E+12,4.44154E+12,9.35421E+12,9.35421E+12,4.06117E+12,7.04355E+11,4.38155E+12,2.66841E+12,3.01094E+11,6.37239E+11,3.22488E+11,7.04997E+12,2.31992E+12,3.1979E+11,3.10001E+11,2.04733E+11,2.04733E+11,2608416151410.00,787917520910.00,-7758547120.00
POM.HM,2017,10265817003020.00,44634366090.00,2.07775E+12,5.15376E+12,1.13837E+13,1.13837E+13,4.1739E+12,1.84158E+11,4.29815E+12,3.36465E+12,6.96234E+11,1.10376E+12,7.58347E+11,7.66279E+12,2.07775E+12,2.67187E+11,7.49638E+11,1.89127E+11,1.89127E+11,2429027095319.99,1203555086780.00,-163186030810.00
POM.HM,2018,12694315825780.00,125450776040.00,2.47482E+12,6.6745E+12,1.34679E+13,1.34679E+13,6.36252E+12,-2.71223E+11,7.21091E+12,3.79677E+12,4.32296E+11,7.7301E+11,4.39265E+11,1.10077E+13,2.47482E+12,5.21887E+11,4.54983E+11,2.14152E+11,2.14152E+11,4251931121909.99,859136179950.00,-2053940912950.00
POM.HM,2019,11785994650430.00,395357783740.00,2.3397E+12,6.78166E+12,1.2007E+13,1.2007E+13,6.73001E+12,-1.95118E+11,8.3107E+12,3.48806E+12,-3.08712E+11,2.09025E+11,-2.93334E+11,1.17988E+13,2.3397E+12,8.77242E+11,-3.03416E+11,3.56188E+11,3.56188E+11,5015098061319.99,266455171410.00,-970932021280.00
POM.HM,2020,9312407023900.00,138937426710.00,1.92607E+12,5.67924E+12,9.88531E+12,9.88531E+12,6.05979E+12,9.77214E+11,7.67116E+12,3.50332E+12,15264033240,5.07245E+11,59610272020,1.11745E+13,1.92607E+12,5.31337E+11,40703905940,3.91582E+11,3.91582E+11,5493241634890.00,633937090750.00,-676718183010.00
POM.HM,2021,13194723588950.00,200166136360.00,1.68618E+12,8.80571E+12,1.40723E+13,1.40723E+13,9.50198E+12,-4.61052E+11,1.12998E+13,3.68555E+12,1.82224E+11,8.05526E+11,2.17601E+11,1.49854E+13,1.68618E+12,1.55934E+12,2.15896E+11,3.9472E+11,3.9472E+11,6177667136240.00,856439297810.00,-933563881190.00
POM.HM,2022,13397607987890.00,1164607118490.00,1.53005E+12,3.99223E+12,1.29561E+13,1.29561E+13,7.72168E+12,15261379280,8.51605E+12,2.51261E+12,-1.16693E+12,-4.6094E+11,-1.12754E+12,1.10287E+13,1.53005E+12,2.07235E+12,-1.16759E+12,4.61919E+11,4.61919E+11,7036433758940.00,-399364515070.00,10732470610.00
V21.HN,2016,142319697540.00,80649237690.00,63630757480,3.0837E+11,1.60144E+11,NULL,2.59864E+11,-4783394700,2.59867E+11,91848359330,-27830368440,17823901540,-27967560680,3.51715E+11,63630757480,75859703720,-27830368440,5841490880,5841490880,39344705920.00,-18131833360.00,-1144872530.00
V21.HN,2017,201530531950.00,80984093280.00,1.00399E+11,3.46613E+11,2.10011E+11,NULL,2.65777E+11,-32306724790,2.65777E+11,1.20776E+11,28927306510,8480289520,29671953180,3.86552E+11,1.00399E+11,66006192700,29455352260,5459100530,5459100530,28975595710.00,37675211710.00,122670430.00
V21.HN,2018,66982812810.00,320083631820.00,66005192870,6.2515E+11,81897454490,NULL,4.96219E+11,-49216788760,5.51228E+11,1.15004E+11,-5050732050,14914641680,-2943308670,6.66232E+11,66005192870,65761025350,-4291001630,4960513730,4960513730,30118424750.00,3684783960.00,-1319675790.00
V21.HN,2019,342640671630.00,118009445080.00,62582744730,3.76979E+11,3.78114E+11,NULL,2.99141E+11,37002787440,2.99141E+11,1.15665E+11,661264020,35473359710,12429641810,4.14807E+11,62582744730,76429074960,2377163770,7325448090,7325448090,26965327980.00,20831214270.00,175371940.00
V21.HN,2020,147856332050.00,127908768480.00,54794667870,3.88143E+11,1.62753E+11,NULL,2.81428E+11,9963483890,3.20437E+11,1.17204E+11,1150350660,14896393180,1500589940,4.37641E+11,54794667870,47953293970,1590539790,4166372870,4166372870,38634975000.00,7551182900.00,556183160.00
V21.HN,2021,119040451540.00,59772948480.00,64096912220,2.42842E+11,1.255E+11,NULL,1.88846E+11,55032346220,2.14662E+11,1.20918E+11,3713924320,6459524400,4466796770,3.3558E+11,64096912220,52328994960,3713924320,3483088250,3483088250,85875452140.00,8841222720.00,-15070165380.00
V21.HN,2022,56282479100.00,62467055240.00,48694016090,2.25596E+11,61220235370,NULL,1.69627E+11,-10641177510,1.95385E+11,1.21768E+11,849950040,4937756270,875624950,3.17152E+11,48694016090,58927663550,928884790,2867136910,2867136910,84694185480.00,2443163340.00,2789115180.00
LIG.HN,2016,780805809180.00,333268260170.00,4.97097E+11,1.3285E+12,8.62224E+11,8.62224E+11,1.13573E+12,-1.38677E+11,1.24534E+12,4.40981E+11,8265517320,81418392410,18250703590,1.68632E+12,4.97097E+11,3.45579E+11,16660905320,40921999300,40921999300,329518745490.00,74094002580.00,-52461921370.00
LIG.HN,2017,1103143207400.00,434964847420.00,5.73881E+11,1.57239E+12,1.18718E+12,1.18718E+12,1.40938E+12,-73216211880,1.61911E+12,4.39596E+11,4779720830,84040089980,8993434070,2.05871E+12,5.73881E+11,4.50396E+11,12715979560,41883458580,41883458580,391920214270.00,71419128120.00,-40998026120.00
LIG.HN,2018,1597226099520.00,609195771550.00,8.70047E+11,2.45486E+12,1.71427E+12,1.71427E+12,2.35104E+12,-1.14982E+11,2.96841E+12,4.65253E+11,20253274990,1.17043E+11,27683341150,3.43366E+12,8.70047E+11,7.5407E+11,37906087610,63685174170,63685174170,822565244170.00,96093249440.00,-431727588170.00
LIG.HN,2019,2042112242680.00,450570887820.00,8.9346E+11,2.10442E+12,2.2288E+12,2.2288E+12,1.87348E+12,3.0714E+11,3.59465E+12,4.75946E+11,16885139070,1.86657E+11,31996156000,4.0706E+12,8.9346E+11,5.78747E+11,31887407170,1.07987E+11,1.07987E+11,1849509519430.00,190283344200.00,-974515677410.00
LIG.HN,2020,2127924231120.00,933963962390.00,9.78147E+11,3.20629E+12,2.34159E+12,2.34159E+12,2.94115E+12,-7470423370,4.68469E+12,6.61711E+11,5311328780,2.10389E+11,22111980190,5.3464E+12,9.78147E+11,8.64336E+11,23042108380,1.42484E+11,1.42484E+11,1971562639370.00,226592591690.00,-148686933970.00
LIG.HN,2021,2368726937530.00,1084642108530.00,9.89998E+11,3.48084E+12,2.43978E+12,2.43978E+12,3.27683E+12,3.92892E+11,4.48321E+12,7.09546E+11,51177341690,71051285090,37988769360,5.19275E+12,9.89998E+11,9.72736E+11,59498741300,83472427510,83472427510,1258413817430.00,14025125480.00,78086941160.00
LIG.HN,2022,2933299300450.00,853652408160.00,1.26311E+12,3.88655E+12,3.05061E+12,3.05061E+12,3.71683E+12,-4.67057E+11,5.48759E+12,9.71559E+11,8290110880,1.14689E+11,18480336860,6.45915E+12,1.26311E+12,1.12631E+12,15674803820,82524095320,82524095320,1936366824610.00,85533641800.00,-1192527205210.00
MCC.HN,2016,33737528230.00,16366689080.00,1725553820,37023602470,54377031780,NULL,7802751030,13695295570,8220586090,66606958390,11645138510,20639503550,15366565560,74827544480,1725553820,2115636980,14557788840,NULL,NULL,37520713210.00,16490482680.00,-7416209060.00
MCC.HN,2017,41543865610.00,19562361510.00,8786521030,32545720020,55139419030,NULL,26750157830,6865581800,27255857030,69146530060,7194326780,13595553420,8494404660,96402387090,8786521030,10867786550,9007746270,52359780,52359780,63544063950.00,10185187890.00,-22007460250.00
MCC.HN,2018,75138834060.00,12281504990.00,3583957400,21008207030,88811414220,NULL,12840893500,8546174850,13405506720,69785986280,4900436900,13672580160,6264325840,83191493000,3583957400,2962872380,6150546130,16286400,16286400,61660456840.00,7971636260.00,-1088521890.00
MCC.HN,2019,73857497550.00,11239973680.00,779932340,16787020350,90623414340,NULL,10628271740,12724587530,11274666260,70440637080,6509066330,16765916790,8069753890,81715303330,779932340,2352114940,8136332910,122164390,122164390,64343638870.00,9150669170.00,-5762451290.00
MCC.HN,2020,42125159990.00,17900094810.00,2675004850,22517744990,50728885860,NULL,15868288930,-1324915930,16565815250,69343399800,2398021680,8603725870,2536778730,85909215060,2675004850,6484399590,2789490080,210575340,210575340,62743613940.00,3725915360.00,2243980.00
MCC.HN,2021,32601925360.00,13649017950.00,6293668100,26202345950,40953605310,NULL,21190910610,9112224140,21923374230,71033770230,2139709400,8351679950,2396673060,92957144460,6293668100,10475412840,2485596700,349726030,349726030,66041859310.00,3615053470.00,-4997768520.00
MCC.HN,2022,41983943680.00,11616243230.00,7067561000,23439088560,52220965080,NULL,14104415360,264393730,14883124110,72203743440,3690021030,10237021400,3914081370,87086867550,7067561000,3171251620,4612526290,404317810,404317810,62868995240.00,4928912900.00,5467060.00
TET.HN,2016,22760368400.00,0.00,30690000,17459287330,NULL,40099933540,6125722090,-641265670,6249274090,68451782520,3620200570,17339565140,4039918620,74701056610,30690000,103055840,5067182760,381307200,381307200,57241769290.00,6471431450.00,-6190031200.00
TET.HN,2017,14483271400.00,NULL,58903000,37720146460,NULL,36410386040,3823282860,25785531840,3823282860,88099167860,20518371960,21927114640,18529155950,91922450710,58903000,161202930,25912188340,0,0,54202304250.00,20767810410.00,8317200260.00
TET.HN,2018,16232300810.00,NULL,0,55745209990,NULL,38857719470,8852082880,24064485430,8852082880,96111222710,17022219280,22625418660,20523173910,1.04963E+11,0,85002200,21814552770,0,0,49218095600.00,19006389800.00,1635908700.00
TET.HN,2019,12386966260.00,NULL,0,30699216620,NULL,24854514820,6104262810,4680762130,6104262810,94070110690,6672939100,12467548560,8539192260,1.00174E+11,0,139533020,8724794460,0,0,44475156890.00,9828246830.00,-23664571440.00
